condition_id,subclass,side_0_token,side_1_token,local_trade_rows_in_window,local_distinct_tx_hash_count_in_window,window_seconds,density_band,stratum_role,tie_break,density_source,per_condition_row_cap,global_row_cap,dune_query_limit_over_fetch
0xf7361f4c577945b89d4a537eda2acd3cceb1e22cb722c8a48a3114eff058b8d7,OVER_UNDER,99739207105257790128075344211534912968459868715904103406100301477967219589411,106729855668864395518421132772923669991080130848538476329326157512462635983691,2,2,9865,LOW,SUBCLASS_PRIMARY,31d2ae86be43352a57d2f81680fc5f6d75b0d7bf7369761100471cb72e4f7520,COMPUTED_FROM_LOCAL_TRADES,2000,6000,2001
0x2bd2a48746fbdecf0555bfe8f5138340341ac3909c7fb5bdf281293039e97148,NAMED_OTHER,58628042844461990190086982042785508732336823662751558364538755697118206148037,75024428455096870875984688928039027558009491467451272577964844877843591010157,2,2,7190,LOW,SUBCLASS_PRIMARY,bb7c8f17a25c52a1ded2f2e74060410d937e1c6b46a6a1db984a67625e0a9aba,COMPUTED_FROM_LOCAL_TRADES,2000,6000,2001
0x8f08f282ea61a9a8ec2b22413e2a8764487eea351337fd14f4409ca34151dec7,UP_DOWN,48991736195478188402624113441181522209031772931978706832085598958658129270671,71508481217075253633242510255608914759767530465405876068993106076736030574871,4,4,306,LOW,SUBCLASS_PRIMARY,26cc9dee97f915aa0366054f32f018b0d64d957fd4e26c0fe872ea7fd841b7e7,COMPUTED_FROM_LOCAL_TRADES,2000,6000,2001
