condition_id,subclass,reason
0x4a8dbb6b80e935c63db3d45014eb0fffb21a650e5eeed1683499b9ef2ba79396,UP_DOWN,REJECT_NOT_REACHABLE_BOTH
0x4b1d122e8641833949f262a8c3d1bb14df011ba600911b35fdb0fcc2314f0813,UP_DOWN,REJECT_NOT_REACHABLE_BOTH
0x4b48b5bfb4f134733562d493d78e596763ff0b4e48778c9401f7dab7c1115809,NAMED_OTHER,REJECT_NOT_REACHABLE_BOTH
0x4c02423087a8cddce9707bab018c4e0bae453524d36f0a5ebdefcb77e48541ec,UP_DOWN,REJECT_NOT_REACHABLE_BOTH
0x4d22e9fafadb498306ac061e1a0f3e905b78e33ff52c74bac78b2491784f3086,UP_DOWN,REJECT_NOT_REACHABLE_BOTH
0x4feae995be268193a02f590f5186102f31d5d3b80ea77ece3999f9f75ec27f28,UP_DOWN,REJECT_NOT_REACHABLE_BOTH
0x52ff2df1af31515531d292e874970a83c32bc1df5de9e3c132bf749da79a03d7,OVER_UNDER,REJECT_NOT_REACHABLE_BOTH
0x53508bb2662aadfae90a6642b59f2eebb04817f153530a6fea9482d58389d919,UP_DOWN,REJECT_NOT_REACHABLE_BOTH
0x540cb70cf8e27987a18b5711370d7c6136c89c73836a93abb6d369c2c156a429,OVER_UNDER,REJECT_NOT_REACHABLE_BOTH
0x568a80ea27c31aa58540896322f8e4491022eba4e8a9c80c86a31c5919d1f70c,UP_DOWN,REJECT_NOT_REACHABLE_BOTH
0x56e504a067b91095a3fe4f80cd4f20668c9241306e518bb16ae643e845ff6fef,OVER_UNDER,REJECT_NOT_REACHABLE_BOTH
0x593518b390830234d739de499b825b0c7f0a1a2e948d17ebcc6867d483b3b7c5,UP_DOWN,REJECT_NOT_REACHABLE_BOTH
0x59d11ab1ddfda626421d8cce4f059bac227ba9b85f8614e7f37d73f2285548d1,NAMED_OTHER,REJECT_NOT_REACHABLE_BOTH
0x5a5dc1651c7eff16836c09686387e2fa4b6db0f2cfd197029ba260d3d7ae938e,UP_DOWN,REJECT_NOT_REACHABLE_BOTH
0x5a808c67074bb0eeff4b772c28409accc59574dcf08b3be79b13888675c98c83,UP_DOWN,REJECT_NOT_REACHABLE_BOTH
0x5aad64ed0877bdca91f95fdd52f5271b5712c5415a882b1fa3d2b72002801cbb,UP_DOWN,REJECT_NOT_REACHABLE_BOTH
0x5af3b6bdf17f54c43659201ff0ab68b4b32c9182bf4285118407ef5a40270b26,NAMED_OTHER,REJECT_NOT_REACHABLE_BOTH
0x5e0383242fd95c6c589b834c609ff97b47042e7d3af01228c49bb68d74df0e3c,NAMED_OTHER,REJECT_NOT_REACHABLE_BOTH
0x5f89392a85080d3f6892df281ead5289bb04045ad389dcf2db6220dd49887cc7,OVER_UNDER,REJECT_NOT_REACHABLE_BOTH
0x6017264dda697298dcacb3653b29a4760523cc18bb00c745be269aa575141dec,OVER_UNDER,REJECT_NOT_REACHABLE_BOTH
0x6109418590d9b42cccc6fb873c4c243dbb352dc07ec19bc8063f5b3813faf437,NAMED_OTHER,REJECT_NOT_REACHABLE_BOTH
0x61b5c77fcdc91059a141c2cea58663be80c46a1a5b8f96f906b04577fbb25521,NAMED_OTHER,REJECT_NOT_REACHABLE_BOTH
0x61e1e48a2eb16f5fc6da854410ba445557635aab1a10bcbfa9a219c8b57ef58f,UP_DOWN,REJECT_NOT_REACHABLE_BOTH
0x6306d7009f711e5e81bb0f5a3b7a5b902931c1c3d6ddbe1e547ae5f1e6def64c,UP_DOWN,REJECT_NOT_REACHABLE_BOTH
0x63c88de1d3aecf78efc443f87657ed1ccf78f1488631174fa798bb58521994fa,UP_DOWN,REJECT_NOT_REACHABLE_BOTH
0x67846abe26b98daebfa3969052e55f61073e1bacda2dbca5903852b8bc7417bf,OVER_UNDER,REJECT_NOT_REACHABLE_BOTH
0x68b858906726fc29e5f16466adb8b9b1de66c4e8d9ea28db008dfe61f95827ca,UP_DOWN,REJECT_NOT_REACHABLE_BOTH
0x6a9bb3eb61f46395751eddf3c45e0ec1560c97a32d1d1fbbe1aeb9b9db367da6,UP_DOWN,REJECT_NOT_REACHABLE_BOTH
0x6aa26c6906a95ab1cfede8c3166148d416e6ce9465d20d3714884a5f53fff42c,NAMED_OTHER,REJECT_NOT_REACHABLE_BOTH
0x6c3bfea9f4b703774c5b7ab02c24339b98a57ec342688046a4677c6d6915c601,NAMED_OTHER,REJECT_NOT_REACHABLE_BOTH
0x6eac23ab1f4d4bdceea8af479bb145e4cf0ea9bda1d47e89bcde91ef365a475f,UP_DOWN,REJECT_NOT_REACHABLE_BOTH
0x700ce3a95cbd0eb0293e658162fda9039e756c1901fa5197d1c4d48e9b2018a9,UP_DOWN,REJECT_NOT_REACHABLE_BOTH
0x70751c7956313452bde603f35f7e7e94070c48b5dd3167b491367bb9d1d0a41b,UP_DOWN,REJECT_NOT_REACHABLE_BOTH
0x74009d97a46b61e6d7c3a0d176ed57fe72e970c302ceaa413fa3620cc5031e56,UP_DOWN,REJECT_NOT_REACHABLE_BOTH
0x75184db075d579cdb9f23a9afabaa1500c4162108160993d04a517d15ee73bc0,NAMED_OTHER,REJECT_NOT_REACHABLE_BOTH
0x754a9cb6358526a4a2bd1c61577085592176150cc7e4131ff29b4b53fa1beff2,UP_DOWN,REJECT_NOT_REACHABLE_BOTH
0x76fe664489e96850144b0231f435947b83bc91b5d9a4e83a81e20127855964fe,NAMED_OTHER,REJECT_NOT_REACHABLE_BOTH
0x7b0f66cf94d5c251c6d9117abcc8a61d9229f7809aa178ff2ae3051d39d7eb83,OVER_UNDER,REJECT_NOT_REACHABLE_BOTH
0x7bdfbb071e8c8894d3f2fe805419806307903a64a3bc904d97e96cdba82319c8,UP_DOWN,REJECT_NOT_REACHABLE_BOTH
0x7c4966dfd5f92cbdc42c3f957bef4f47bb6b2022a43d2f38e868727d3d499f30,OVER_UNDER,REJECT_NOT_REACHABLE_BOTH
0x7ca4e57f387f77dfc1168e35990fbbc94e0b3c3366a48b1995fe5aafeceb8391,UP_DOWN,REJECT_NOT_REACHABLE_BOTH
0x7f52e3b5cee619330fe89136ba18bb883c491ea9f412d33de621af7bf4a72bcd,NAMED_OTHER,REJECT_NOT_REACHABLE_BOTH
0x7fd3525aa572f0adaebbc2b41b984df7f1d13f4efe02a9c0b70e00567dfe4049,NAMED_OTHER,REJECT_NOT_REACHABLE_BOTH
0x80f17bc53878f3e5867b015e28ece2e8a69c8cff0698fb7d0b440fcb4e8c9844,OVER_UNDER,REJECT_NOT_REACHABLE_BOTH
0x8170e190a2369b796016136c4c53ed1315b481148787231162f32415c296c828,UP_DOWN,REJECT_NOT_REACHABLE_BOTH
0x8176dc8086de2e042d5503bc520612d4f4edb7efd6adc0dc69efc49a23637b04,UP_DOWN,REJECT_NOT_REACHABLE_BOTH
0x81a7de53b767fbe24ea5da7373e7c6cc3bc422760ce64926fc89190c2b647040,UP_DOWN,REJECT_NOT_REACHABLE_BOTH
0x83d7c76b2e427142e7c54f1467279064e16ccb87e2433c1e08d3d3a320b071d8,NAMED_OTHER,REJECT_NOT_REACHABLE_BOTH
0x88dc61da05979fbe0e00463b1b92ceb3068bd87c50135a65de98f098fbad3e24,OVER_UNDER,REJECT_NOT_REACHABLE_BOTH
0x8952fbcd0311466eda0574138eb74db353e291de69f6b14190fb02bfb566476a,OVER_UNDER,REJECT_NOT_REACHABLE_BOTH
0x8dc14a307e065ef11d328482493470fa7443baa40f3362dda7d36ae0cd67afda,UP_DOWN,REJECT_NOT_REACHABLE_BOTH
0x8e19d5d8986f4dd7178d033f7f0b04533792b17a2634d398ca89e2cb030f99f0,OVER_UNDER,REJECT_NOT_REACHABLE_BOTH
0x8f720fd593276433670ed66c4aa05a4a2aab5746e78957a3e9651d4edf2306f2,UP_DOWN,REJECT_NOT_REACHABLE_BOTH
0x904ffa256ad48ea514799ebac788ff80d8b6eac8057eb9970e6321c2e5b4d82b,OVER_UNDER,REJECT_NOT_REACHABLE_BOTH
0x91338541f3de929515e32b979a18967a605f1b89838acabfcf57a571d2a68477,OVER_UNDER,REJECT_NOT_REACHABLE_BOTH
0x91b233dff5f8be5b036e3eedb02baf1f3241b0545b12053ac2288dacb3bbd785,OVER_UNDER,REJECT_NOT_REACHABLE_BOTH
0x927fbdc42c475c604c84c4f7adca67d344ebccbe7a18f9f8d45999cf5dd3d4ad,OVER_UNDER,REJECT_NOT_REACHABLE_BOTH
0x93eb692cfbe8c518303d94c28eefec22bfa71d4009ec6d70a46ea20bd980c50e,UP_DOWN,REJECT_NOT_REACHABLE_BOTH
0x9408b713ebc275fd5f6ac475fb095e4605e00f78540cf6a3c63d61e22f478b5f,OVER_UNDER,REJECT_NOT_REACHABLE_BOTH
0x94c258cf9d1983e4b470fdbbbab9635f862305df4ba9b45767011bde9b718222,NAMED_OTHER,REJECT_NOT_REACHABLE_BOTH
0x95703f93c79d5835a1ddc700e2b8cc4a2d5ffed66df5ce4b36d79c01a3d1b417,NAMED_OTHER,REJECT_NOT_REACHABLE_BOTH
0x957484cf3fdf94b24ce031e8a3da74c750f9797019ba46b8dc385a2ed6f7a674,UP_DOWN,REJECT_NOT_REACHABLE_BOTH
0x96eea474977aa501752f9a8b750884b2aca96fc9aeff68eb1a04bc0dcd56a00d,OVER_UNDER,REJECT_NOT_REACHABLE_BOTH
0x9b930ac4c07d3b2f0d64afef042f65e9b31cf0e3424f0492bee5d32e36e885ed,OVER_UNDER,REJECT_NOT_REACHABLE_BOTH
