condition_id,tx_hash,block_time,source_provenance,makerAssetId,takerAssetId,makerAmountFilled,takerAmountFilled,ordering_key,matched_side,tx_hash_relation
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x2076faac8e2405d404c9faa4daf64aa816c74866f0a04b3f5203d5a1cd3de039,1747871920.0,polymarket_polygon.ctfexchange_evt_orderfilled,0,14435256600956461523169994922369526133793986263085343330506586915623100183027,6600000,10000000,,side_0,DUNE_ONLY
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x2076faac8e2405d404c9faa4daf64aa816c74866f0a04b3f5203d5a1cd3de039,1747871920.0,polymarket_polygon.ctfexchange_evt_orderfilled,14435256600956461523169994922369526133793986263085343330506586915623100183027,0,10000000,6600000,,side_0,DUNE_ONLY
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x1c66cbe2d09660e038c6fac9e55e613ac0b00040d1344841bfd2ec4971d4e8cd,1747871906.0,polymarket_polygon.ctfexchange_evt_orderfilled,0,14435256600956461523169994922369526133793986263085343330506586915623100183027,6800000,10000000,,side_0,DUNE_ONLY
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x1c66cbe2d09660e038c6fac9e55e613ac0b00040d1344841bfd2ec4971d4e8cd,1747871906.0,polymarket_polygon.ctfexchange_evt_orderfilled,0,75733971725278593390564231138542512168823400487237894119484650583660636319558,3200000,10000000,,side_1,DUNE_ONLY
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x1775864415f243aae42cf3de6486ec61495ef0949d6a93bcdf124d14b8fc5e30,1747871912.0,polymarket_polygon.ctfexchange_evt_orderfilled,14435256600956461523169994922369526133793986263085343330506586915623100183027,0,100000000,66000000,,side_0,DUNE_ONLY
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x1775864415f243aae42cf3de6486ec61495ef0949d6a93bcdf124d14b8fc5e30,1747871912.0,polymarket_polygon.ctfexchange_evt_orderfilled,0,14435256600956461523169994922369526133793986263085343330506586915623100183027,66000000,100000000,,side_0,DUNE_ONLY
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0xebe8d2a0f13327d841bedd9aff226916dc97029a1f86e2d7aa4666ef04c1e4be,1747871938.0,polymarket_polygon.ctfexchange_evt_orderfilled,0,75733971725278593390564231138542512168823400487237894119484650583660636319558,65999999,188571427,,side_1,DUNE_ONLY
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0xebe8d2a0f13327d841bedd9aff226916dc97029a1f86e2d7aa4666ef04c1e4be,1747871938.0,polymarket_polygon.ctfexchange_evt_orderfilled,75733971725278593390564231138542512168823400487237894119484650583660636319558,0,88571427,30999999,,side_1,DUNE_ONLY
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0xebe8d2a0f13327d841bedd9aff226916dc97029a1f86e2d7aa4666ef04c1e4be,1747871938.0,polymarket_polygon.ctfexchange_evt_orderfilled,0,14435256600956461523169994922369526133793986263085343330506586915623100183027,65000000,100000000,,side_0,DUNE_ONLY
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x73d50ba199300d32c279a36b318e8b11c549c788ee6b967ee31361a2ec62cfef,1747872088.0,polymarket_polygon.ctfexchange_evt_orderfilled,0,14435256600956461523169994922369526133793986263085343330506586915623100183027,999999,1470587,,side_0,DUNE_ONLY
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x73d50ba199300d32c279a36b318e8b11c549c788ee6b967ee31361a2ec62cfef,1747872088.0,polymarket_polygon.ctfexchange_evt_orderfilled,0,75733971725278593390564231138542512168823400487237894119484650583660636319558,470588,1470587,,side_1,DUNE_ONLY
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x640780bb59f993f403d7454fdc65130f97617bbfd200b1108fb472fa4a3a0f60,1747872094.0,polymarket_polygon.ctfexchange_evt_orderfilled,0,14435256600956461523169994922369526133793986263085343330506586915623100183027,30150000,45000000,,side_0,DUNE_ONLY
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x640780bb59f993f403d7454fdc65130f97617bbfd200b1108fb472fa4a3a0f60,1747872094.0,polymarket_polygon.ctfexchange_evt_orderfilled,0,75733971725278593390564231138542512168823400487237894119484650583660636319558,14850000,45000000,,side_1,DUNE_ONLY
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0xebae1ed9b3e1df50b276f033f60b02779863296bf15210905d588539307a1152,1747872044.0,polymarket_polygon.ctfexchange_evt_orderfilled,0,14435256600956461523169994922369526133793986263085343330506586915623100183027,6600000,10000000,,side_0,DUNE_ONLY
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0xebae1ed9b3e1df50b276f033f60b02779863296bf15210905d588539307a1152,1747872044.0,polymarket_polygon.ctfexchange_evt_orderfilled,0,75733971725278593390564231138542512168823400487237894119484650583660636319558,3400000,10000000,,side_1,DUNE_ONLY
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x9271614683b91065198c07527787753a974889d76eeb2025ce6142e51cbf2a48,1747872296.0,polymarket_polygon.ctfexchange_evt_orderfilled,0,75733971725278593390564231138542512168823400487237894119484650583660636319558,65200000,163000000,,side_1,DUNE_ONLY
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x9271614683b91065198c07527787753a974889d76eeb2025ce6142e51cbf2a48,1747872296.0,polymarket_polygon.ctfexchange_evt_orderfilled,75733971725278593390564231138542512168823400487237894119484650583660636319558,0,163000000,65200000,,side_1,DUNE_ONLY
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x6fd82c1f960e52553a10f9c8e189d1e1ca400b8fb0be8f21524ef438cfd97b9a,1747872406.0,polymarket_polygon.ctfexchange_evt_orderfilled,0,14435256600956461523169994922369526133793986263085343330506586915623100183027,6100000,10000000,,side_0,DUNE_ONLY
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x6fd82c1f960e52553a10f9c8e189d1e1ca400b8fb0be8f21524ef438cfd97b9a,1747872406.0,polymarket_polygon.ctfexchange_evt_orderfilled,0,75733971725278593390564231138542512168823400487237894119484650583660636319558,3900000,10000000,,side_1,DUNE_ONLY
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x1b93f554c3020d889f6e4b4485f7fd46bf1a23dc656f845e2036fb08db814822,1747872404.0,polymarket_polygon.ctfexchange_evt_orderfilled,0,14435256600956461523169994922369526133793986263085343330506586915623100183027,7999999,13114753,,side_0,DUNE_ONLY
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x1b93f554c3020d889f6e4b4485f7fd46bf1a23dc656f845e2036fb08db814822,1747872404.0,polymarket_polygon.ctfexchange_evt_orderfilled,0,75733971725278593390564231138542512168823400487237894119484650583660636319558,5114754,13114753,,side_1,DUNE_ONLY
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x714accbb2336970dfa12a233e2d4d2e8cc0cb67fb621e2235a1cf96ffc2a0cce,1747872500.0,polymarket_polygon.ctfexchange_evt_orderfilled,0,75733971725278593390564231138542512168823400487237894119484650583660636319558,66830000,163000000,,side_1,DUNE_ONLY
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x714accbb2336970dfa12a233e2d4d2e8cc0cb67fb621e2235a1cf96ffc2a0cce,1747872500.0,polymarket_polygon.ctfexchange_evt_orderfilled,75733971725278593390564231138542512168823400487237894119484650583660636319558,0,163000000,66830000,,side_1,DUNE_ONLY
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0xd80bd6bea72eb8e1d7a6eb96ea9facc78f2e2dfc3c8a2b626a3865cb10357452,1747872286.0,polymarket_polygon.ctfexchange_evt_orderfilled,0,14435256600956461523169994922369526133793986263085343330506586915623100183027,6299999,10161289,,side_0,DUNE_ONLY
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0xd80bd6bea72eb8e1d7a6eb96ea9facc78f2e2dfc3c8a2b626a3865cb10357452,1747872286.0,polymarket_polygon.ctfexchange_evt_orderfilled,0,75733971725278593390564231138542512168823400487237894119484650583660636319558,3861290,10161289,,side_1,DUNE_ONLY
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0xed1ae1969ff9ef297a7473e1db8b2fd269bf5dee74a47aefa25708c786fb0cb1,1747872388.0,polymarket_polygon.ctfexchange_evt_orderfilled,0,14435256600956461523169994922369526133793986263085343330506586915623100183027,226869998,362844124,,side_0,DUNE_ONLY
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0xed1ae1969ff9ef297a7473e1db8b2fd269bf5dee74a47aefa25708c786fb0cb1,1747872388.0,polymarket_polygon.ctfexchange_evt_orderfilled,0,75733971725278593390564231138542512168823400487237894119484650583660636319558,9207126,24884124,,side_1,DUNE_ONLY
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0xed1ae1969ff9ef297a7473e1db8b2fd269bf5dee74a47aefa25708c786fb0cb1,1747872388.0,polymarket_polygon.ctfexchange_evt_orderfilled,0,75733971725278593390564231138542512168823400487237894119484650583660636319558,61338600,165780000,,side_1,DUNE_ONLY
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0xed1ae1969ff9ef297a7473e1db8b2fd269bf5dee74a47aefa25708c786fb0cb1,1747872388.0,polymarket_polygon.ctfexchange_evt_orderfilled,0,75733971725278593390564231138542512168823400487237894119484650583660636319558,62320000,164000000,,side_1,DUNE_ONLY
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0xed1ae1969ff9ef297a7473e1db8b2fd269bf5dee74a47aefa25708c786fb0cb1,1747872388.0,polymarket_polygon.ctfexchange_evt_orderfilled,0,75733971725278593390564231138542512168823400487237894119484650583660636319558,3108400,8180000,,side_1,DUNE_ONLY
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0xc24bd4ae939ad8e10a66cb67a1291d4ab7c50625e49f0c0f8429ad97ca93d40f,1747872572.0,polymarket_polygon.ctfexchange_evt_orderfilled,0,14435256600956461523169994922369526133793986263085343330506586915623100183027,59000000,100000000,,side_0,DUNE_ONLY
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0xc24bd4ae939ad8e10a66cb67a1291d4ab7c50625e49f0c0f8429ad97ca93d40f,1747872572.0,polymarket_polygon.ctfexchange_evt_orderfilled,0,75733971725278593390564231138542512168823400487237894119484650583660636319558,41000000,100000000,,side_1,DUNE_ONLY
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x3d0ee6627880bcebc26680a98c4c4040a0793e0edcc8ddbf1d835f8c624c0c41,1747872572.0,polymarket_polygon.ctfexchange_evt_orderfilled,0,14435256600956461523169994922369526133793986263085343330506586915623100183027,59000000,100000000,,side_0,DUNE_ONLY
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x3d0ee6627880bcebc26680a98c4c4040a0793e0edcc8ddbf1d835f8c624c0c41,1747872572.0,polymarket_polygon.ctfexchange_evt_orderfilled,0,75733971725278593390564231138542512168823400487237894119484650583660636319558,41000000,100000000,,side_1,DUNE_ONLY
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x449a0fbe0a3e337fa9e30564bd5e87b54e09fae80ee4f8fdaecf399f9b771ae3,1747872736.0,polymarket_polygon.ctfexchange_evt_orderfilled,0,14435256600956461523169994922369526133793986263085343330506586915623100183027,5500000,10000000,,side_0,DUNE_ONLY
