condition_id,dune_rows_in_window,dune_only_tx_hash_count,local_only_tx_hash_count,overlap_tx_hash_count,unresolved_side_rows
0x00e0e2e768260268c59fd8c43d77f771b19cf1d70ddfcf51c0198e4f58e0fc8e,2001,794,136,24,0
0x05e6b63f6a9a207c7d09a6165a7b42dc9b561129528a488509818c9d850d235d,0,0,7,0,0
0x06a49f84dc36633874f4d11e26205ec7816bf06fcf5ca100c010a8e72ee0d34f,0,0,47,0,0
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,705,248,0,44,0
0x0d37350307c1f60f7f2f83387d9273ab0eac02ed7919e3875e5f28a71fbe675e,0,0,188,0,0
