condition_id,tx_hash,block_time,makerAssetId,takerAssetId,makerAmountFilled,takerAmountFilled,source_provenance,ordering_key
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x2076faac8e2405d404c9faa4daf64aa816c74866f0a04b3f5203d5a1cd3de039,2025-05-21 23:58:40.000 UTC,14435256600956461523169994922369526133793986263085343330506586915623100183027,0,10000000,6600000,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x1c66cbe2d09660e038c6fac9e55e613ac0b00040d1344841bfd2ec4971d4e8cd,2025-05-21 23:58:26.000 UTC,0,14435256600956461523169994922369526133793986263085343330506586915623100183027,6800000,10000000,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x1c66cbe2d09660e038c6fac9e55e613ac0b00040d1344841bfd2ec4971d4e8cd,2025-05-21 23:58:26.000 UTC,0,75733971725278593390564231138542512168823400487237894119484650583660636319558,3200000,10000000,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x1775864415f243aae42cf3de6486ec61495ef0949d6a93bcdf124d14b8fc5e30,2025-05-21 23:58:32.000 UTC,14435256600956461523169994922369526133793986263085343330506586915623100183027,0,100000000,66000000,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x1775864415f243aae42cf3de6486ec61495ef0949d6a93bcdf124d14b8fc5e30,2025-05-21 23:58:32.000 UTC,0,14435256600956461523169994922369526133793986263085343330506586915623100183027,66000000,100000000,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0xebe8d2a0f13327d841bedd9aff226916dc97029a1f86e2d7aa4666ef04c1e4be,2025-05-21 23:58:58.000 UTC,0,75733971725278593390564231138542512168823400487237894119484650583660636319558,65999999,188571427,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0xebe8d2a0f13327d841bedd9aff226916dc97029a1f86e2d7aa4666ef04c1e4be,2025-05-21 23:58:58.000 UTC,75733971725278593390564231138542512168823400487237894119484650583660636319558,0,88571427,30999999,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0xebe8d2a0f13327d841bedd9aff226916dc97029a1f86e2d7aa4666ef04c1e4be,2025-05-21 23:58:58.000 UTC,0,14435256600956461523169994922369526133793986263085343330506586915623100183027,65000000,100000000,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x73d50ba199300d32c279a36b318e8b11c549c788ee6b967ee31361a2ec62cfef,2025-05-22 00:01:28.000 UTC,0,14435256600956461523169994922369526133793986263085343330506586915623100183027,999999,1470587,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x73d50ba199300d32c279a36b318e8b11c549c788ee6b967ee31361a2ec62cfef,2025-05-22 00:01:28.000 UTC,0,75733971725278593390564231138542512168823400487237894119484650583660636319558,470588,1470587,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x640780bb59f993f403d7454fdc65130f97617bbfd200b1108fb472fa4a3a0f60,2025-05-22 00:01:34.000 UTC,0,14435256600956461523169994922369526133793986263085343330506586915623100183027,30150000,45000000,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x640780bb59f993f403d7454fdc65130f97617bbfd200b1108fb472fa4a3a0f60,2025-05-22 00:01:34.000 UTC,0,75733971725278593390564231138542512168823400487237894119484650583660636319558,14850000,45000000,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0xebae1ed9b3e1df50b276f033f60b02779863296bf15210905d588539307a1152,2025-05-22 00:00:44.000 UTC,0,14435256600956461523169994922369526133793986263085343330506586915623100183027,6600000,10000000,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0xebae1ed9b3e1df50b276f033f60b02779863296bf15210905d588539307a1152,2025-05-22 00:00:44.000 UTC,0,75733971725278593390564231138542512168823400487237894119484650583660636319558,3400000,10000000,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x9271614683b91065198c07527787753a974889d76eeb2025ce6142e51cbf2a48,2025-05-22 00:04:56.000 UTC,0,75733971725278593390564231138542512168823400487237894119484650583660636319558,65200000,163000000,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x9271614683b91065198c07527787753a974889d76eeb2025ce6142e51cbf2a48,2025-05-22 00:04:56.000 UTC,75733971725278593390564231138542512168823400487237894119484650583660636319558,0,163000000,65200000,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x6fd82c1f960e52553a10f9c8e189d1e1ca400b8fb0be8f21524ef438cfd97b9a,2025-05-22 00:06:46.000 UTC,0,14435256600956461523169994922369526133793986263085343330506586915623100183027,6100000,10000000,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x6fd82c1f960e52553a10f9c8e189d1e1ca400b8fb0be8f21524ef438cfd97b9a,2025-05-22 00:06:46.000 UTC,0,75733971725278593390564231138542512168823400487237894119484650583660636319558,3900000,10000000,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x1b93f554c3020d889f6e4b4485f7fd46bf1a23dc656f845e2036fb08db814822,2025-05-22 00:06:44.000 UTC,0,14435256600956461523169994922369526133793986263085343330506586915623100183027,7999999,13114753,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x1b93f554c3020d889f6e4b4485f7fd46bf1a23dc656f845e2036fb08db814822,2025-05-22 00:06:44.000 UTC,0,75733971725278593390564231138542512168823400487237894119484650583660636319558,5114754,13114753,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x714accbb2336970dfa12a233e2d4d2e8cc0cb67fb621e2235a1cf96ffc2a0cce,2025-05-22 00:08:20.000 UTC,0,75733971725278593390564231138542512168823400487237894119484650583660636319558,66830000,163000000,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x714accbb2336970dfa12a233e2d4d2e8cc0cb67fb621e2235a1cf96ffc2a0cce,2025-05-22 00:08:20.000 UTC,75733971725278593390564231138542512168823400487237894119484650583660636319558,0,163000000,66830000,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0xd80bd6bea72eb8e1d7a6eb96ea9facc78f2e2dfc3c8a2b626a3865cb10357452,2025-05-22 00:04:46.000 UTC,0,14435256600956461523169994922369526133793986263085343330506586915623100183027,6299999,10161289,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0xd80bd6bea72eb8e1d7a6eb96ea9facc78f2e2dfc3c8a2b626a3865cb10357452,2025-05-22 00:04:46.000 UTC,0,75733971725278593390564231138542512168823400487237894119484650583660636319558,3861290,10161289,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0xed1ae1969ff9ef297a7473e1db8b2fd269bf5dee74a47aefa25708c786fb0cb1,2025-05-22 00:06:28.000 UTC,0,14435256600956461523169994922369526133793986263085343330506586915623100183027,226869998,362844124,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0xed1ae1969ff9ef297a7473e1db8b2fd269bf5dee74a47aefa25708c786fb0cb1,2025-05-22 00:06:28.000 UTC,0,75733971725278593390564231138542512168823400487237894119484650583660636319558,9207126,24884124,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0xed1ae1969ff9ef297a7473e1db8b2fd269bf5dee74a47aefa25708c786fb0cb1,2025-05-22 00:06:28.000 UTC,0,75733971725278593390564231138542512168823400487237894119484650583660636319558,61338600,165780000,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0xed1ae1969ff9ef297a7473e1db8b2fd269bf5dee74a47aefa25708c786fb0cb1,2025-05-22 00:06:28.000 UTC,0,75733971725278593390564231138542512168823400487237894119484650583660636319558,62320000,164000000,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0xed1ae1969ff9ef297a7473e1db8b2fd269bf5dee74a47aefa25708c786fb0cb1,2025-05-22 00:06:28.000 UTC,0,75733971725278593390564231138542512168823400487237894119484650583660636319558,3108400,8180000,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0xc24bd4ae939ad8e10a66cb67a1291d4ab7c50625e49f0c0f8429ad97ca93d40f,2025-05-22 00:09:32.000 UTC,0,14435256600956461523169994922369526133793986263085343330506586915623100183027,59000000,100000000,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0xc24bd4ae939ad8e10a66cb67a1291d4ab7c50625e49f0c0f8429ad97ca93d40f,2025-05-22 00:09:32.000 UTC,0,75733971725278593390564231138542512168823400487237894119484650583660636319558,41000000,100000000,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x3d0ee6627880bcebc26680a98c4c4040a0793e0edcc8ddbf1d835f8c624c0c41,2025-05-22 00:09:32.000 UTC,0,14435256600956461523169994922369526133793986263085343330506586915623100183027,59000000,100000000,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x3d0ee6627880bcebc26680a98c4c4040a0793e0edcc8ddbf1d835f8c624c0c41,2025-05-22 00:09:32.000 UTC,0,75733971725278593390564231138542512168823400487237894119484650583660636319558,41000000,100000000,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x449a0fbe0a3e337fa9e30564bd5e87b54e09fae80ee4f8fdaecf399f9b771ae3,2025-05-22 00:12:16.000 UTC,0,14435256600956461523169994922369526133793986263085343330506586915623100183027,5500000,10000000,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x449a0fbe0a3e337fa9e30564bd5e87b54e09fae80ee4f8fdaecf399f9b771ae3,2025-05-22 00:12:16.000 UTC,0,75733971725278593390564231138542512168823400487237894119484650583660636319558,4500000,10000000,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x87d36ea9055f61f7ab1d1a629dcebfdf36eb08045d845d9456ad0ccd9dcffe43,2025-05-22 00:12:12.000 UTC,0,75733971725278593390564231138542512168823400487237894119484650583660636319558,70500000,150000000,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x87d36ea9055f61f7ab1d1a629dcebfdf36eb08045d845d9456ad0ccd9dcffe43,2025-05-22 00:12:12.000 UTC,75733971725278593390564231138542512168823400487237894119484650583660636319558,0,150000000,70500000,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x6a62cf42ffe747206c866d84d0df50347286da797e141eaa369309ee49b0e8bc,2025-05-22 00:09:56.000 UTC,0,14435256600956461523169994922369526133793986263085343330506586915623100183027,77708400,133980000,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x6a62cf42ffe747206c866d84d0df50347286da797e141eaa369309ee49b0e8bc,2025-05-22 00:09:56.000 UTC,0,75733971725278593390564231138542512168823400487237894119484650583660636319558,56271600,133980000,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x8a275654e4040ecc8515589554fb1df5b2808b04cf137297380b6099c7481f4a,2025-05-22 00:10:24.000 UTC,0,14435256600956461523169994922369526133793986263085343330506586915623100183027,1999999,3278687,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x8a275654e4040ecc8515589554fb1df5b2808b04cf137297380b6099c7481f4a,2025-05-22 00:10:24.000 UTC,0,75733971725278593390564231138542512168823400487237894119484650583660636319558,1278688,3278687,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x6d657878561adc4f2e876349b99bb2d11ae1f4cf8b2eca98d1e0e17940f99f5f,2025-05-22 00:10:30.000 UTC,0,14435256600956461523169994922369526133793986263085343330506586915623100183027,14999998,24275481,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x6d657878561adc4f2e876349b99bb2d11ae1f4cf8b2eca98d1e0e17940f99f5f,2025-05-22 00:10:30.000 UTC,0,75733971725278593390564231138542512168823400487237894119484650583660636319558,4185883,11015481,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x6d657878561adc4f2e876349b99bb2d11ae1f4cf8b2eca98d1e0e17940f99f5f,2025-05-22 00:10:30.000 UTC,0,75733971725278593390564231138542512168823400487237894119484650583660636319558,3108400,8180000,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x6d657878561adc4f2e876349b99bb2d11ae1f4cf8b2eca98d1e0e17940f99f5f,2025-05-22 00:10:30.000 UTC,0,75733971725278593390564231138542512168823400487237894119484650583660636319558,1981200,5080000,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x57536885d7515975608e972ffa00e0cc0e06d5f7d4706597467e35974e80f19b,2025-05-22 00:15:04.000 UTC,0,14435256600956461523169994922369526133793986263085343330506586915623100183027,9200000,20000000,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x57536885d7515975608e972ffa00e0cc0e06d5f7d4706597467e35974e80f19b,2025-05-22 00:15:04.000 UTC,0,75733971725278593390564231138542512168823400487237894119484650583660636319558,10800000,20000000,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x0114775e56de9a4d15459af1af96c6f755197f7931fcfcbe591c24c30723a9f2,2025-05-22 00:17:12.000 UTC,0,75733971725278593390564231138542512168823400487237894119484650583660636319558,5900000,10000000,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x0114775e56de9a4d15459af1af96c6f755197f7931fcfcbe591c24c30723a9f2,2025-05-22 00:17:12.000 UTC,75733971725278593390564231138542512168823400487237894119484650583660636319558,0,10000000,5900000,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x5a43d350a650d8fc950796c453cb433517364cc36a324ea89f08d5c70327d8b4,2025-05-22 00:15:22.000 UTC,0,14435256600956461523169994922369526133793986263085343330506586915623100183027,963172000,2735800000,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x5a43d350a650d8fc950796c453cb433517364cc36a324ea89f08d5c70327d8b4,2025-05-22 00:15:22.000 UTC,0,75733971725278593390564231138542512168823400487237894119484650583660636319558,441600000,690000000,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x5a43d350a650d8fc950796c453cb433517364cc36a324ea89f08d5c70327d8b4,2025-05-22 00:15:22.000 UTC,0,75733971725278593390564231138542512168823400487237894119484650583660636319558,1248000000,1920000000,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x5a43d350a650d8fc950796c453cb433517364cc36a324ea89f08d5c70327d8b4,2025-05-22 00:15:22.000 UTC,0,75733971725278593390564231138542512168823400487237894119484650583660636319558,83028000,125800000,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x5353dd4754f7c4b06e6efe40994b31a4a6201edab2b6b77598b7d92ab6625e69,2025-05-22 00:15:24.000 UTC,0,14435256600956461523169994922369526133793986263085343330506586915623100183027,45000000,100000000,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x5353dd4754f7c4b06e6efe40994b31a4a6201edab2b6b77598b7d92ab6625e69,2025-05-22 00:15:24.000 UTC,0,75733971725278593390564231138542512168823400487237894119484650583660636319558,55000000,100000000,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x36523cdf51abc4a8cbd72ca50e74471e8fd21bcaa1833297418e22c76d235448,2025-05-22 00:15:16.000 UTC,0,75733971725278593390564231138542512168823400487237894119484650583660636319558,49400000,80000000,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x36523cdf51abc4a8cbd72ca50e74471e8fd21bcaa1833297418e22c76d235448,2025-05-22 00:15:16.000 UTC,0,14435256600956461523169994922369526133793986263085343330506586915623100183027,26600000,70000000,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x36523cdf51abc4a8cbd72ca50e74471e8fd21bcaa1833297418e22c76d235448,2025-05-22 00:15:16.000 UTC,0,14435256600956461523169994922369526133793986263085343330506586915623100183027,4000000,10000000,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x372aa29d8697a7c4440a9e132ba33806d4aa3518a72c3e160100d3659dcd35e9,2025-05-22 00:13:50.000 UTC,0,75733971725278593390564231138542512168823400487237894119484650583660636319558,53000000,100000000,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x372aa29d8697a7c4440a9e132ba33806d4aa3518a72c3e160100d3659dcd35e9,2025-05-22 00:13:50.000 UTC,0,14435256600956461523169994922369526133793986263085343330506586915623100183027,47000000,100000000,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x3ef900a90f45bc107493f2048d3ff7cd7cdf67bee148cc7aecc925ec477754e3,2025-05-22 00:13:50.000 UTC,14435256600956461523169994922369526133793986263085343330506586915623100183027,0,364470000,178590300,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x3ef900a90f45bc107493f2048d3ff7cd7cdf67bee148cc7aecc925ec477754e3,2025-05-22 00:13:50.000 UTC,75733971725278593390564231138542512168823400487237894119484650583660636319558,0,364470000,185879700,polymarket_polygon.ctfexchange_evt_orderfilled,
0x0cb2ceea234b5983a21b51186d52aede1f85e242a519123508ea18ac53a561c2,0x75c82075ba7c860f6692ad7b64cfac62c9ff6300e72d9a267dbe052d19f1d051,2025-05-22 00:13:50.000 UTC,0,75733971725278593390564231138542512168823400487237894119484650583660636319558,94145000,186500000,polymarket_polygon.ctfexchange_evt_orderfilled,
